name,artist_id
Kid Ink,6KZDXtSj0SzGOV705nNeh3
Olly Murs,3whuHq0yGx60atvA2RCVRW
Iggy Azalea,5yG7ZAZafVaAlMTeBybKAL
Lilly Wood and The Prick,50OApTJurDusIo9dGTqSU4
Sheppard,6VxCmtR7S3yz4vnzsJqhSV
Oliver Heldens,5nki7yRhxgM509M5ADlN1p
Natalie La Rose,2qdONMCoDngQk0eV4Avs1i
Kiesza,4zxvC7CRGvggq9EWXOpwAo
Rita Ora,5CCwRZC6euC8Odo6y9X8jr
G.R.L.,3Yl4nkmEa8BSuGWbwhdLDq
O.T. Genasis,1Zatb2YN4erBOoSivOXc0o
ZHU,28j8lBWDdDSHSSt5oPlsX2
Duke Dumont,61lyPtntblHJvA7FMMhi7E
Tame Impala,5INjqkS1o8h1imAzPqGZBb
KALEO,7jdFEYD2LTYjfwxOdlVjmc
Bryson Tiller,2EMAnMvWE2eb56ToJVfCWs
BØRNS,1KP6TWI40m7p3QBTU6u2xo
Fall Out Boy,4UXqAaa6dQYAk18Lv7PEgX
Robin Schulz,3t5xRXzsuZmMDkQzgOX35S
Demi Lovato,6S2OmqARrzebs0tKUEyXyp
Zara Larsson,1Xylc3o4UrD53lo9CvFvVg
R. City,4TH4BHy0LdBi3dpBW4P2UX
X Ambassadors,3NPpFNZtSTHheNBaWC82rB
Kygo,23fqKkggKUBHNkbKtXEls4
Rachel Platten,3QLIkT4rD2FMusaqmkepbq
Rob $tone,2hWs22BmQkK4czFtDLnar2
Big Sean,0c173mlxpT3dSFRgMO8XPh
Galantis,4sTQVOfp9vEMCemLw50sbu
Little Mix,3e7awlrlDSwF3iM0WBjGMp
Jack Ü,1HxJeLhIuegM3KgvPn8sTa
Felix Jaehn,4bL2B6hmLlMWnUEZnorEtG
Fifth Harmony,1l8Fu6IkuTP0U5QetQJ5Xt
Elle King,3bhu7P5PfngueRHiB9hjcx
Rae Sremmurd,7iZtZyCzp3LItcw1wtPI3D
Alessia Cara,2wUjUUtkb5lvLKcGKsKqsR
Deorro,6VD4UEUPvtsemqD3mmTqCR
Pia Mia,1BhWF9W2PngtPSyobKg0rP
Lost Frequencies,7f5Zgnp2spUuuzKplmRkt7
Hailee Steinfeld,5p7f24Rk5HkUZsaS3BLG5F
The Strumbellas,6ujr1NkqbZpYOhquczUUfl
Snakehips,2FwJwEswyIUAljqgjNSHgP
Joel Adams,36jaGQtMj5UWD0eO1fCVdD
James Bay,4EzkuveR9pLvDVFNx6foYD
Meek Mill,20sxb77xiYeusSH8cVdatc
Omarion,0f5nVCcR06GX8Qikz0COtT
Jonas Blue,1HBjj22wzbscIZ9sEb5dyf
OMI,5MouCg6ta7zAxsfMEbc1uh
Petit Biscuit,6gK1Uct5FEdaUWRWpU4Cl2
Christina Perri,7H55rcKCfwqkyDFH9wpKM6
Kodaline,4BxCuXFJrSWGi1KHcVqaU4
Of Monsters and Men,4dwdTW1Lfiq0cM8nBAqIIz
Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca
Phillip Phillips,6p5JxpTc7USNnBnLzctyd4
Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5
Bridgit Mendler,4VhL8KLjVso4vLfOLVViTb
Icona Pop,1VBflYyxBhnDc9uVib98rw
Disclosure,6nS5roXSAGhTGr34W6n7Et
2 Chainz,17lzZA2AlOHwCwFALHttmp
Mumford & Sons,3gd8FJtBJtkRxdfbTu19U2
Martin Garrix,60d24wfXkVzDSfLS6hyCjZ
Michael Bublé,1GxkXlMwML1oSg5eLPiAz3
Ciara,2NdeV5rLm47xAvogXrYhJX
Sebastian Ingrosso,6hyMWrxGBsOx6sWcVj1DqP
John Newman,34v5MVKeQnIo0CWYMbbrPf
Ylvis,2lEOFtf3cCyzomQcMHJGfZ
The 1975,3mIj9lX2MWuHmhNCA7LSCW
Wale,67nwj3Y5sZQLl72VNUHEYE
Naughty Boy,1bT7m67vi78r2oqvxrP3X5
Snoop Dogg,7hJcb9fa4alzcOq3EaNPoG
PSY,2dd5mrQZvg6SmahdgVKDzh
MARINA,6CwfuxIqcltXDGjfZsMd9A
alt-J,3XHO7cRUPCLOr6jwp8vsx5
Skrillex,5he5w2lnU9x7JFhnwcekXX
Azealia Banks,7gRhy3MIPHQo5CXYfWaw9I
Robbie Williams,2HcwFjNelS49kFbfvMxQYw
Otto Knows,5fahUm8t5c0GIdeTq0ZaG8
Asaf Avidan,7t51dSX8ZkKC7VoKRd0lME
Muse,12Chz98pHFMPJEknJQMWvI
Grimes,053q0ukIDRgzwTr4vNSwab
Jennifer Lopez,2DlGxzQSjYe5N6G9nkYghR
Lupe Fiasco,01QTIT5P1pFP3QnnFSdsJf
Passion Pit,7gjAu1qr5C2grXeQFFOGeh
Gavin DeGraw,5DYAABs8rkY9VhwtENoQCz
The xx,3iOvXCl6edW5Um0fXEBRXy
Michel Teló,1sDVuztNhGcetCLChkleDA
