artist_id,name,genres,popularity,followers
601893mmW5hl1FBOykWZHG,Deborah Cox,"canadian pop,contemporary r&b,r&b,urban contemporary,vocal house",48,822419
4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,"electro,filter house,rock",78,9677681
3nFkdlSjzX9mRTtwJOzDYB,JAY-Z,"east coast hip hop,gangster rap,hip hop,pop rap,rap",81,8701701
2gBjLmx6zQnFGQJCAQpRgw,Nelly,"dance pop,gangster rap,hip hop,pop rap,rap,st louis rap,urban contemporary",71,2559560
3Isy6kedDrgPYoTS1dazA9,Sean Paul,"dance pop,dancehall,pop,pop rap",77,4516790
0a1gHP0HAqALbEyxaD5Ngn,Rascal Flatts,"contemporary country,country,country road,modern country rock",65,3587513
4AK6F7OLvEQ5QYCBNiQWHq,One Direction,"boy band,pop,post-teen pop,talent show",81,33755271
21E3waRsmPlU7jZsS13rcj,Ne-Yo,"dance pop,pop,r&b,urban contemporary",76,8376575
4M0DLz8te9Q1lNIXBBwvfG,Karmin,"post-teen pop,viral pop",46,548832
5T0MSzX9RC5NA6gAI6irSn,Estelle,"neo soul,r&b",62,269400
6FITmSxIMsk6TfulFiCIIz,Ram Jam,southern rock,54,129968
1pbHrVayIcVpHI9z97u4bK,Bingo Players,"big room,dutch house,edm,electro house,melbourne bounce,pop dance,progressive electro house,progressive house",55,484798
085pc2PYOi8bGKj0PNjekA,will.i.am,"dance pop,pop",70,4133272
5j4HeCoUlzhfWtjAfM1acR,Stromae,"belgian pop,g-house",68,3134575
33ScadVnbm2X8kkUqOkC6Z,Don Omar,"latin hip hop,puerto rican pop,reggaeton,trap latino,urbano latino",79,10450975
07QEuhtrNmmZ0zEcqE9SF6,Owl City,"indietronica,pop",65,2388534
536BYVgOnRky0xjsPT96zl,Two Door Cinema Club,"indie rock,indietronica,irish rock,modern alternative rock,modern rock,northern irish indie",66,2347149
7o9Nl7K1Al6NNAHX6jn6iG,Travie McCoy,pop rap,59,367384
5tKXB9uuebKE34yowVaU3C,Iyaz,"dance pop,pop rap,post-teen pop",62,918681
2iojnBLj0qIMiKPvVhLnsH,Trey Songz,"dance pop,r&b,southern hip hop,trap,urban contemporary",66,7431616
3DiDSECUqqY1AuBP8qtaIa,Alicia Keys,"neo soul,pop,r&b",75,11169962
0RpddSzUHfncUWNJXKOsjy,Neon Trees,"modern rock,neo mellow,pop rock,pov: indie",62,1247045
5OrB6Jhhrl9y2PK0pSV4VP,Young Money,"dirty south rap,pop rap,rap,southern hip hop,trap",60,3003069
698hF4vcwHwPy8ltmXermq,Far East Movement,"asian american hip hop,dance pop,pop rap",62,1143829
5Y5TRrQiqgUO4S36tzjIRZ,Timbaland,"dance pop,pop,pop rap",75,2657029
55Aa2cqylxrFIXC767Z865,Lil Wayne,"hip hop,new orleans rap,pop rap,rap,trap",83,14155723
1EeArivTpzLNCqubV95255,Cali Swag District,pop rap,48,87974
0id62QV2SZZfvBn9xpmuCl,Aloe Blacc,"pop soul,r&b",61,712832
4M6Z1wubeKtwPqbjJygTOc,Shontelle,"barbadian pop,dance pop,post-teen pop,talent show",50,726058
6XwwFnewNgWp81MYMK8zLq,Edward Maya,"romanian house,romanian pop",60,237002
3ipn9JLAPI5GUEo4y4jcoi,Ludacris,"atl hip hop,dance pop,dirty south rap,hip hop,old school atlanta hip hop,pop rap,rap,southern hip hop,trap",73,2702369
